Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoMaxBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
avl,100,293496,24787,119.872385,0.000408,0.038582,0.000311,17,11,17,0,3462112,18557
avl,200,608941,36155,306.800728,0.000504,0.043065,0.000318,17,11,17,0,7337132,27062
avl,300,905819,43808,524.550857,0.000579,0.046776,0.000323,18,12,18,0,11055976,32627
avl,400,1179083,50263,775.585381,0.000658,0.046776,0.000331,18,12,18,0,14503240,37235
avl,500,1486875,56440,1095.662850,0.000737,0.046776,0.000337,18,12,18,0,18397021,41699
avl,600,1780413,61358,1449.655318,0.000814,0.046776,0.000341,18,12,18,0,22119272,45172
avl,700,2058722,65737,1828.222985,0.000888,0.046776,0.000344,18,12,18,0,25656313,48407
avl,800,2322975,69561,2226.846167,0.000959,0.046776,0.000347,18,12,18,0,29016832,51165
avl,900,2624924,73775,2727.533096,0.001039,0.046776,0.000350,18,12,18,0,32875426,54304
avl,1000,2931823,77770,3280.872722,0.001119,0.046776,0.000352,18,12,18,0,36807747,57210
avl,1100,3242934,82046,3889.542365,0.001199,0.046776,0.000355,19,12,19,0,40805427,60300
avl,1200,3566691,85881,4568.746262,0.001281,0.046776,0.000358,19,12,19,0,44944683,63072
avl,1300,3866795,89038,5252.461451,0.001358,0.046776,0.000360,19,12,19,0,48771751,65367
avl,1400,4189452,92640,6037.073630,0.001441,0.046776,0.000363,19,13,19,0,52875880,68036
avl,1500,4534923,95779,6933.769705,0.001529,0.046776,0.000366,19,13,19,0,57281909,70328
avl,1600,4814862,98307,7694.332570,0.001598,0.046776,0.000367,19,13,19,0,60853985,72282
avl,1700,5124614,101337,8587.538907,0.001676,0.046776,0.000370,19,13,19,0,64805839,74433
avl,1800,5432998,103975,9519.993338,0.001752,0.046776,0.000372,19,13,19,0,68737077,76350
avl,1900,5702173,106204,10381.177153,0.001821,0.046776,0.000373,19,13,19,0,72172603,78048
avl,2000,5951918,108197,11220.110840,0.001885,0.048621,0.000375,19,13,19,0,75359289,79429
avl,2100,6255381,110309,12273.598992,0.001962,0.048621,0.000377,19,13,19,0,79251505,80939
avl,2200,6586369,112401,13486.099278,0.002048,0.048621,0.000379,19,13,19,0,83502480,82437
avl,2300,6911613,115160,14739.338457,0.002133,0.048621,0.000382,19,13,19,0,87674163,84483
avl,2400,7221763,117396,15974.593874,0.002212,0.048621,0.000384,19,13,19,0,91658070,86122
avl,2500,7538632,119639,17284.705162,0.002293,0.048621,0.000386,19,13,19,0,95738195,87763
avl,2600,7819846,121451,18500.642206,0.002366,0.048621,0.000387,19,13,19,0,99366934,89150
avl,2700,8148054,123520,19955.418236,0.002449,0.048621,0.000389,19,13,19,0,103596150,90653
avl,2800,8496157,125757,21559.969489,0.002538,0.048621,0.000392,19,13,19,0,108061863,92270
avl,2900,8797303,127898,22984.083739,0.002613,0.048621,0.000394,19,13,19,0,111932230,93850
avl,3000,9127821,130039,24620.929285,0.002697,0.048621,0.000396,19,13,19,0,116185144,95449
avl,3100,9441790,131806,26223.090307,0.002777,0.048621,0.000398,19,13,19,0,120215128,96797
avl,3200,9725529,133493,27701.562539,0.002848,0.048621,0.000399,19,13,19,0,123868039,98004
avl,3300,10101209,135928,29717.404072,0.002942,0.048621,0.000401,19,13,19,0,128705140,99852
avl,3400,10399132,137463,31393.929852,0.003019,0.048621,0.000403,19,13,19,0,132548252,100970
avl,3500,10701054,138997,33128.427965,0.003096,0.048621,0.000405,19,12,19,0,136448241,102099
avl,3600,10974990,140443,34747.250245,0.003166,0.048621,0.000407,20,12,20,0,139972834,103166
avl,3700,11284006,142036,36668.319513,0.003250,0.048621,0.000409,20,12,20,0,143964129,104281
avl,3800,11542054,143446,38284.586998,0.003317,0.048621,0.000411,20,12,20,0,147300120,105320
avl,3900,11818417,145031,40046.697455,0.003388,0.048621,0.000413,20,12,20,0,150900180,106517
avl,4000,12200867,146772,42535.818644,0.003486,0.048621,0.000415,20,12,20,0,155874276,107779
avl,4100,12556070,148458,44935.348047,0.003579,0.048621,0.000418,20,12,20,0,160483699,109088
avl,4200,12910580,150107,47594.320966,0.003686,0.048621,0.000422,20,12,20,0,165088515,110330
avl,4300,13208418,151524,49683.971233,0.003762,0.048621,0.000424,20,12,20,0,168958161,111354
avl,4400,13497258,152641,51779.195277,0.003836,0.138542,0.000425,20,12,20,0,172700415,112187
avl,4500,13812100,153920,54129.582086,0.003919,0.138542,0.000428,20,12,20,0,176778838,113086
avl,4600,14120647,155364,56403.877314,0.003994,0.138542,0.000430,20,12,20,0,180791503,114130
avl,4700,14414553,156594,58652.600488,0.004069,0.138542,0.000432,20,12,20,0,184606625,115045
avl,4800,14723028,157807,61089.424953,0.004149,0.138542,0.000434,20,12,20,0,188607527,115909
avl,4900,15005473,159092,63341.146250,0.004221,0.138542,0.000436,20,12,20,0,192290348,116864
avl,5000,15322015,160294,65908.103703,0.004302,0.138542,0.000438,20,12,20,0,196407466,117691
avl,5100,15628321,161417,68423.124542,0.004378,0.138542,0.000440,20,12,20,0,200409121,118479
avl,5200,15950454,162634,71153.259962,0.004461,0.138542,0.000442,20,12,20,0,204598767,119358
avl,5300,16259232,163736,73821.749955,0.004540,0.138542,0.000444,20,12,20,0,208618585,120198
avl,5400,16607637,164966,77101.000824,0.004643,0.138542,0.000447,20,12,20,0,213177440,121097
avl,5500,16955485,166169,80244.570319,0.004733,0.138542,0.000450,20,12,20,0,217700077,121981
