Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoMaxBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
bst,100,293496,24787,0.115961,0.000000,0.000149,0.000000,34,7,34,0,3806274,0
bst,200,608941,36155,0.313299,0.000001,0.000239,0.000000,36,6,36,0,7964472,0
bst,300,905819,43808,0.547121,0.000001,0.000410,0.000000,37,6,37,0,11903307,0
bst,400,1179083,50263,0.806876,0.000001,0.000657,0.000000,38,6,38,0,15526318,0
bst,500,1486875,56440,1.152225,0.000001,0.000657,0.000000,38,6,38,0,19610612,0
bst,600,1780413,61358,1.528268,0.000001,0.000657,0.000000,39,6,39,0,23506828,0
bst,700,2058722,65737,1.930373,0.000001,0.000657,0.000000,39,6,39,0,27219524,0
bst,800,2322975,69561,3.035819,0.000001,0.672246,0.000000,39,6,39,0,30735674,0
bst,900,2624924,73775,3.577571,0.000001,0.672246,0.000000,39,6,39,0,34744823,0
bst,1000,2931823,77770,4.182655,0.000001,0.672246,0.000000,40,7,40,0,38836621,0
bst,1100,3242934,82046,4.848713,0.000001,0.672246,0.000000,40,7,40,0,43031814,0
bst,1200,3566691,85881,5.687450,0.000002,0.672246,0.000000,40,7,40,0,47347031,0
bst,1300,3866795,89038,6.564554,0.000002,0.672246,0.000000,40,7,40,0,51343991,0
bst,1400,4189452,92640,7.354229,0.000002,0.672246,0.000000,40,7,40,0,55611705,0
bst,1500,4534923,95779,8.253142,0.000002,0.672246,0.000000,40,7,40,0,60186451,0
bst,1600,4814862,98307,9.039523,0.000002,0.672246,0.000000,41,7,41,0,63907823,0
bst,1700,5124614,101337,9.998039,0.000002,0.672246,0.000000,43,6,43,0,68034465,0
bst,1800,5432998,103975,10.994812,0.000002,0.672246,0.000000,43,6,43,0,72098409,0
bst,1900,5702173,106204,11.917569,0.000002,0.672246,0.000000,43,6,43,0,75668294,0
bst,2000,5951918,108197,12.789887,0.000002,0.672246,0.000000,43,6,43,0,78974047,0
bst,2100,6255381,110309,13.857974,0.000002,0.672246,0.000000,43,6,43,0,83016716,0
bst,2200,6586369,112401,15.068043,0.000002,0.672246,0.000000,43,6,43,0,87399806,0
bst,2300,6911613,115160,16.393873,0.000002,0.672246,0.000000,43,6,43,0,91716827,0
bst,2400,7221763,117396,17.711202,0.000002,0.672246,0.000000,43,6,43,0,95832995,0
bst,2500,7538632,119639,19.143794,0.000003,0.672246,0.000000,43,6,43,0,100076776,0
bst,2600,7819846,121451,20.420807,0.000003,0.672246,0.000000,43,6,43,0,103843106,0
bst,2700,8148054,123520,21.932148,0.000003,0.672246,0.000000,43,6,43,0,108217584,0
bst,2800,8496157,125757,23.674385,0.000003,0.672246,0.000000,43,6,43,0,112845169,0
bst,2900,8797303,127898,25.202319,0.000003,0.672246,0.000000,43,6,43,0,116881170,0
bst,3000,9127821,130039,26.957893,0.000003,0.672246,0.000000,43,6,43,0,121282680,0
bst,3100,9441790,131806,28.636546,0.000003,0.672246,0.000000,43,7,43,0,125448603,0
bst,3200,9725529,133493,30.174874,0.000003,0.672246,0.000000,43,7,43,0,129250978,0
bst,3300,10101209,135928,33.030709,0.000003,0.699232,0.000000,43,7,43,0,134300628,0
bst,3400,10399132,137463,34.752712,0.000003,0.699232,0.000000,43,7,43,0,138251421,0
bst,3500,10701054,138997,37.080815,0.000003,0.699232,0.000000,43,7,43,0,142291149,0
bst,3600,10974990,140443,40.295456,0.000004,0.699232,0.000000,43,7,43,0,145918671,0
bst,3700,11284006,142036,43.046321,0.000004,0.699232,0.000000,43,7,43,0,150013590,0
bst,3800,11542054,143446,44.887064,0.000004,0.699232,0.000000,43,7,43,0,153443988,0
bst,3900,11818417,145031,47.122697,0.000004,0.699232,0.000000,43,7,43,0,157144587,0
bst,4000,12200867,146772,50.302177,0.000004,0.699232,0.000000,43,7,43,0,162287496,0
bst,4100,12556070,148458,53.548950,0.000004,0.699232,0.000000,43,7,43,0,167007865,0
bst,4200,12910580,150107,57.783161,0.000004,0.699232,0.000000,43,7,43,0,171756672,0
bst,4300,13208418,151524,62.742954,0.000005,0.855084,0.000000,43,7,43,0,175742434,0
bst,4400,13497258,152641,70.286318,0.000005,0.855084,0.000000,43,7,43,0,179590261,0
bst,4500,13812100,153920,82.199184,0.000006,0.855084,0.000001,43,7,43,0,183741968,0
bst,4600,14120647,155364,88.792568,0.000006,0.855084,0.000001,43,7,43,0,187878042,0
bst,4700,14414553,156594,94.905423,0.000007,0.855084,0.000001,43,7,43,0,191791076,0
bst,4800,14723028,157807,98.537645,0.000007,0.855084,0.000001,43,7,43,0,195876468,0
bst,4900,15005473,159092,102.559261,0.000007,0.855084,0.000001,44,7,44,0,199659190,0
bst,5000,15322015,160294,107.655293,0.000007,0.855084,0.000001,44,7,44,0,203855720,0
bst,5100,15628321,161417,112.009215,0.000007,0.855084,0.000001,44,7,44,0,207963355,0
bst,5200,15950454,162634,115.636908,0.000007,0.855084,0.000001,44,7,44,0,212246772,0
bst,5300,16259232,163736,119.113904,0.000007,0.855084,0.000001,44,7,44,0,216352076,0
bst,5400,16607637,164966,123.703693,0.000007,0.915303,0.000001,44,7,44,0,221055924,0
bst,5500,16955485,166169,127.515331,0.000008,0.915303,0.000001,44,7,44,0,225641510,0
bst,5600,17254653,167014,130.877349,0.000008,0.915303,0.000001,44,7,44,0,229611828,0
bst,5700,17556584,168103,134.271722,0.000008,0.915303,0.000001,44,7,44,0,233646325,0
bst,5800,17867185,169054,137.776565,0.000008,0.915303,0.000001,45,7,45,0,237767227,0
bst,5900,18210781,170213,141.877869,0.000008,0.915303,0.000001,45,7,45,0,242357354,0
bst,6000,18492753,171125,145.176890,0.000008,0.915303,0.000001,45,7,45,0,246133943,0
bst,6100,18791128,172129,149.148720,0.000008,0.915303,0.000001,45,7,45,0,250071720,0
bst,6200,19104193,173076,154.177527,0.000008,0.915303,0.000001,45,7,45,0,254253508,0
bst,6300,19386427,173999,157.799604,0.000008,0.915303,0.000001,45,7,45,0,258030093,0
bst,6400,19706124,174844,161.765193,0.000008,0.915303,0.000001,45,7,45,0,262289107,0
bst,6500,20036770,175986,165.928945,0.000008,0.915303,0.000001,45,7,45,0,266730262,0
bst,6600,20341249,176724,169.720836,0.000008,0.915303,0.000001,45,7,45,0,270805964,0
bst,6700,20640612,177569,173.468938,0.000008,0.915303,0.000001,45,7,45,0,274798997,0
bst,6800,20937069,178514,177.298237,0.000008,0.915303,0.000001,45,7,45,0,278743821,0
bst,6900,21212044,179410,180.980151,0.000009,0.915303,0.000001,45,7,45,0,282431567,0
bst,7000,21550469,180287,186.426651,0.000009,0.915303,0.000001,45,7,45,0,286956743,0
bst,7100,21868270,181131,190.913654,0.000009,0.915303,0.000001,45,7,45,0,291160524,0
bst,7200,22264940,182090,196.454848,0.000009,0.915303,0.000001,45,7,45,0,296456837,0
bst,7300,22557474,182763,200.561897,0.000009,0.915303,0.000001,45,7,45,0,300311802,0
bst,7400,22834217,183308,204.522471,0.000009,0.915303,0.000001,45,7,45,0,303991749,0
bst,7500,23107560,184076,208.607201,0.000009,0.915303,0.000001,45,7,45,0,307653759,0
bst,7600,23436936,184859,214.293701,0.000009,0.915303,0.000001,45,7,45,0,312072972,0
bst,7700,23751068,185596,218.876082,0.000009,0.915303,0.000001,45,7,45,0,316266064,0
bst,7800,24016778,186152,222.838085,0.000009,0.915303,0.000001,45,7,45,0,319806148,0
bst,7900,24283369,186812,226.790015,0.000009,0.915303,0.000001,45,7,45,0,323378808,0
bst,8000,24585448,187490,231.232395,0.000009,0.915303,0.000001,45,7,45,0,327410340,0
bst,8100,24891603,188202,235.835936,0.000009,0.915303,0.000001,45,7,45,0,331516075,0
bst,8200,25215788,188887,241.270014,0.000010,0.915303,0.000001,45,7,45,0,335823072,0
bst,8300,25541759,189640,247.363512,0.000010,0.915303,0.000001,45,7,45,0,340169515,0
bst,8400,25842385,190293,252.351887,0.000010,0.915303,0.000001,45,7,45,0,344210926,0
