Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoMaxBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
bst,1,6839,1709,1.942210,0.000284,0.018811,0.000250,28,5,28,66130,67839,0
avl,1,6839,1709,2.262148,0.000331,0.018910,0.000283,12,8,12,58830,59448,1263
rbt,1,6839,1709,1.598387,0.000234,0.020511,0.000296,12,7,12,58797,59564,1047
bst,2,8899,2194,3.049942,0.000343,0.021612,0.000268,28,5,28,89814,92008,0
avl,2,8899,2194,3.181858,0.000358,0.090050,0.000312,12,8,12,79506,80295,1622
rbt,2,8899,2194,2.319301,0.000261,0.024914,0.000312,13,8,13,79218,80191,1368
bst,3,14607,3555,5.636408,0.000386,0.036820,0.000288,31,5,31,159823,163378,0
avl,3,14607,3555,5.720886,0.000392,0.090050,0.000325,13,8,13,139948,141191,2683
rbt,3,14607,3555,4.401138,0.000301,0.026215,0.000333,14,8,14,140592,142137,2238
bst,4,15357,3670,6.015603,0.000392,0.036820,0.000289,31,5,31,168876,172546,0
avl,4,15357,3670,6.042962,0.000393,0.090050,0.000329,13,8,13,148071,149357,2770
rbt,4,15357,3670,4.664593,0.000304,0.026215,0.000336,14,8,14,148733,150332,2309
bst,5,17178,4147,7.445692,0.000433,0.036820,0.000293,31,5,31,190965,195112,0
avl,5,17178,4147,7.279846,0.000424,0.090050,0.000334,14,8,14,167880,169318,3139
rbt,5,17178,4147,5.565994,0.000324,0.036220,0.000341,14,9,14,168786,170599,2595
bst,6,31607,6347,14.350994,0.000454,0.045526,0.000302,31,5,31,367229,373576,0
avl,6,31607,6347,13.795140,0.000436,0.090050,0.000342,14,9,14,328289,330464,4835
rbt,6,31607,6347,10.282223,0.000325,0.038522,0.000346,14,9,14,325387,328132,3986
bst,7,35182,6778,16.720909,0.000475,0.045526,0.000303,31,6,31,410870,417648,0
avl,7,35182,6778,15.914004,0.000452,0.090050,0.000347,14,9,14,369000,371321,5170
rbt,7,35182,6778,11.971373,0.000340,0.161190,0.000356,15,9,15,365455,368383,4270
bst,8,37589,7070,18.272075,0.000486,0.045526,0.000307,31,6,31,442741,449811,0
avl,8,37589,7070,17.195816,0.000457,0.090050,0.000351,15,9,15,397297,399730,5381
rbt,8,37589,7070,12.966512,0.000345,0.161190,0.000358,15,9,15,393122,396187,4439
bst,9,40047,7438,19.407393,0.000485,0.045526,0.000307,31,6,31,473339,480777,0
avl,9,40047,7438,18.262244,0.000456,0.090050,0.000351,15,10,15,425090,427662,5649
rbt,9,40047,7438,13.750377,0.000343,0.161190,0.000358,15,9,15,420109,423319,4683
bst,10,41609,7681,20.714701,0.000498,0.045526,0.000310,31,6,31,493125,500806,0
avl,10,41609,7681,19.257008,0.000463,0.090050,0.000352,15,10,15,443051,445688,5853
rbt,10,41609,7681,14.648950,0.000352,0.161190,0.000364,15,9,15,437973,441281,4841
bst,11,43239,7834,21.644537,0.000501,0.045526,0.000309,31,6,31,514085,521919,0
avl,11,43239,7834,19.974127,0.000462,0.090050,0.000353,15,10,15,461656,464340,5982
rbt,11,43239,7834,15.264075,0.000353,0.161190,0.000363,15,9,15,455769,459139,4945
bst,12,44956,8093,22.520724,0.000501,0.045526,0.000310,31,6,31,535688,543781,0
avl,12,44956,8093,20.847632,0.000464,0.090050,0.000354,15,10,15,481369,484154,6165
rbt,12,44956,8093,15.889843,0.000353,0.161190,0.000363,15,9,15,475259,478747,5095
bst,13,52438,8859,27.008935,0.000515,0.045526,0.000310,31,6,31,631259,640118,0
avl,13,52438,8859,24.760440,0.000472,0.090050,0.000358,15,10,15,567916,570964,6748
rbt,13,52438,8859,18.635653,0.000355,0.161190,0.000365,15,9,15,561011,564830,5576
bst,14,58721,9571,30.493008,0.000519,0.075442,0.000314,31,6,31,712190,721761,0
avl,14,58721,9571,27.882113,0.000475,0.140779,0.000362,15,10,15,641852,645121,7322
rbt,14,58721,9571,21.109831,0.000359,0.161190,0.000365,15,9,15,634090,638208,6037
bst,15,60615,9753,31.474668,0.000519,0.075442,0.000315,32,6,32,736260,746013,0
avl,15,60615,9753,28.723183,0.000474,0.140779,0.000363,15,10,15,663516,666842,7459
rbt,15,60615,9753,21.730387,0.000358,0.161190,0.000365,15,9,15,655567,659758,6158
bst,16,63013,9930,32.967704,0.000523,0.086248,0.000317,32,6,32,765008,774938,0
avl,16,63013,9930,29.956668,0.000475,0.140779,0.000364,15,10,15,690901,694279,7600
