Estrutura,Documentos,NumeroPalavrasTotais,NumeroPalavrasDistintas,TempoTotalInsercao,TempoMedioInsercao,TempoTotalBusca,TempoMedioBusca,Altura,MenorGalho,MaiorGalho,ComparacoesInsercao,ComparacoesBusca,NumeroRotacao
rbt,100,293496,24787,0.079901,0.000000,0.079807,0.000000,17,10,17,3444139,3454917,15434
rbt,200,608941,36155,0.217160,0.000000,0.174823,0.000000,18,11,18,7294705,7310477,22436
rbt,300,905819,43808,0.374815,0.000000,0.268353,0.000000,18,11,18,10982809,11001980,27152
rbt,400,1179083,50263,0.553354,0.000000,0.357247,0.000000,18,11,18,14383728,14405823,31048
rbt,500,1486875,56440,0.788787,0.000001,0.459207,0.000000,18,11,18,18240379,18265261,34785
rbt,600,1780413,61358,1.047465,0.000001,0.558734,0.000000,19,11,19,21920437,21947601,37684
rbt,700,2058722,65737,1.323557,0.000001,0.655621,0.000000,19,11,19,25419176,25448251,40388
rbt,800,2322975,69561,1.613607,0.000001,0.748976,0.000000,19,11,19,28750523,28781324,42705
rbt,900,2624924,73775,1.981876,0.000001,0.858324,0.000000,19,11,19,32565838,32598574,45205
rbt,1000,2931823,77770,2.388584,0.000001,0.971846,0.000000,19,11,19,36464097,36498574,47702
rbt,1100,3242934,82046,2.832620,0.000001,1.089983,0.000000,19,11,19,40448046,40484512,50227
rbt,1200,3566691,85881,3.331646,0.000001,1.213105,0.000000,19,11,19,44590306,44628462,52585
rbt,1300,3866795,89038,3.830133,0.000001,1.329496,0.000000,19,11,19,48446814,48486444,54428
rbt,1400,4189452,92640,4.395163,0.000001,1.456302,0.000000,19,11,19,52580893,52622090,56669
rbt,1500,4534923,95779,5.044848,0.000001,1.594500,0.000000,19,11,19,57010162,57052749,58588
rbt,1600,4814862,98307,5.596425,0.000001,1.707066,0.000000,19,11,19,60612365,60655996,60205
rbt,1700,5124614,101337,6.243617,0.000001,1.834129,0.000000,19,11,19,64597980,64642969,62010
rbt,1800,5432998,103975,6.928749,0.000001,1.964239,0.000000,19,11,19,68560114,68606247,63646
rbt,1900,5702173,106204,7.563497,0.000001,2.079524,0.000000,19,11,19,72032201,72079312,65016
rbt,2000,5951918,108197,8.171744,0.000001,2.185954,0.000000,19,11,19,75256785,75304827,66186
rbt,2100,6255381,110309,8.932864,0.000001,2.318373,0.000000,19,11,19,79171864,79220872,67432
rbt,2200,6586369,112401,9.803051,0.000001,2.463448,0.000000,20,11,20,83446905,83496892,68652
rbt,2300,6911613,115160,10.688639,0.000002,2.604671,0.000000,20,11,20,87660022,87711249,70346
rbt,2400,7221763,117396,11.563671,0.000002,2.739766,0.000000,20,11,20,91666902,91719181,71638
rbt,2500,7538632,119639,12.493687,0.000002,2.879792,0.000000,20,11,20,95789185,95842408,73059
rbt,2600,7819846,121451,13.346665,0.000002,3.006209,0.000000,20,11,20,99449082,99503039,74254
rbt,2700,8148054,123520,14.376976,0.000002,3.154901,0.000000,20,11,20,103711918,103766751,75575
rbt,2800,8496157,125757,15.517209,0.000002,3.315385,0.000000,20,11,20,108239195,108295034,76941
rbt,2900,8797303,127898,16.519067,0.000002,3.456186,0.000000,20,11,20,112152950,112209735,78265
rbt,3000,9127821,130039,17.719641,0.000002,3.618377,0.000000,20,11,20,116456541,116514304,79552
rbt,3100,9441790,131806,18.850184,0.000002,3.769159,0.000000,20,11,20,120526119,120584635,80660
rbt,3200,9725529,133493,19.917085,0.000002,3.913515,0.000000,20,11,20,124218857,124278124,81696
rbt,3300,10101209,135928,21.511153,0.000002,4.139635,0.000000,20,11,20,129135573,129195862,83262
rbt,3400,10399132,137463,22.745975,0.000002,4.305862,0.000000,20,11,20,133005181,133066193,84160
rbt,3500,10701054,138997,24.109419,0.000002,4.499804,0.000000,20,11,20,136943435,137005083,85147
